experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_hotpotqa_kv128_bs1_rep0_20250617_163301,2025-06-17T16:34:33.741050,"{'success': True, 'ttft_ms': 1998.0230331420898, 'tpot_ms': 1433.9789468414929, 'throughput_tokens_per_sec': 0.6919171073834992, 'total_time_sec': 72.26299142837524, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10366.75341796875, 'average_memory_mb': 9968.135611928383, 'sample_count': 641}, 'total_peak_memory_mb': 10366.75341796875}","{'peak_cpu_percent': 18.5, 'average_cpu_percent': 8.493055555555555, 'peak_memory_percent': 45.6, 'peak_memory_used_gb': 29.1285400390625, 'sample_count': 72}",72.38967204093933
fullkvcache_hotpotqa_kv128_bs4_rep0_20250617_163434,2025-06-17T16:36:06.959846,"{'success': True, 'ttft_ms': 1847.2602367401123, 'tpot_ms': 1442.8031055294737, 'throughput_tokens_per_sec': 0.6892310585245297, 'total_time_sec': 72.54461240768433, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10435.15380859375, 'average_memory_mb': 10044.563363414902, 'sample_count': 643}, 'total_peak_memory_mb': 10435.15380859375}","{'peak_cpu_percent': 19.6, 'average_cpu_percent': 9.127777777777778, 'peak_memory_percent': 46.7, 'peak_memory_used_gb': 29.825199127197266, 'sample_count': 72}",72.5959165096283
fullkvcache_hotpotqa_kv128_bs8_rep0_20250617_163607,2025-06-17T16:36:13.555512,"{'success': False, 'error_message': '(MaxRetryError(""HTTPSConnectionPool(host=\'huggingface.co\', port=443): Max retries exceeded with url: /api/datasets/THUDM/LongBench/revision/a8b3fea296d0126b1887abb5ad2004d9184344fc (Caused by SSLError(SSLEOFError(8, \'[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)\')))""), \'(Request ID: c6224b55-e86e-4bbc-9d4a-447bd96547d0)\')'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 0, 'average_memory_mb': 0, 'sample_count': 0}, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
fullkvcache_hotpotqa_kv256_bs1_rep0_20250617_163614,2025-06-17T16:37:42.899111,"{'success': True, 'ttft_ms': 2582.611083984375, 'tpot_ms': 1404.0080771154287, 'throughput_tokens_per_sec': 0.70047629470101, 'total_time_sec': 71.38000297546387, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 256, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10382.75830078125, 'average_memory_mb': 9982.219897306419, 'sample_count': 632}, 'total_peak_memory_mb': 10382.75830078125}","{'peak_cpu_percent': 23.0, 'average_cpu_percent': 9.161971830985914, 'peak_memory_percent': 46.6, 'peak_memory_used_gb': 29.759506225585938, 'sample_count': 71}",71.40604162216187
fullkvcache_hotpotqa_kv256_bs4_rep0_20250617_163743,2025-06-17T16:39:14.494450,"{'success': True, 'ttft_ms': 2905.651807785034, 'tpot_ms': 1407.220324691461, 'throughput_tokens_per_sec': 0.6957930840512732, 'total_time_sec': 71.86044406890869, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 256, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10499.43896484375, 'average_memory_mb': 10090.271145567602, 'sample_count': 637}, 'total_peak_memory_mb': 10499.43896484375}","{'peak_cpu_percent': 22.8, 'average_cpu_percent': 9.647887323943662, 'peak_memory_percent': 47.0, 'peak_memory_used_gb': 29.974838256835938, 'sample_count': 71}",71.89931511878967
fullkvcache_hotpotqa_kv256_bs8_rep0_20250617_163915,2025-06-17T16:40:58.121230,"{'success': True, 'ttft_ms': 3485.1160049438477, 'tpot_ms': 1567.4238788838288, 'throughput_tokens_per_sec': 0.6227434664877255, 'total_time_sec': 80.28988289833069, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 256, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10658.13720703125, 'average_memory_mb': 10237.03194470352, 'sample_count': 712}, 'total_peak_memory_mb': 10658.13720703125}","{'peak_cpu_percent': 28.5, 'average_cpu_percent': 9.575949367088608, 'peak_memory_percent': 45.6, 'peak_memory_used_gb': 29.074867248535156, 'sample_count': 79}",80.29885363578796
fullkvcache_hotpotqa_kv512_bs1_rep0_20250617_164058,2025-06-17T16:42:32.968624,"{'success': True, 'ttft_ms': 1527.237892150879, 'tpot_ms': 1412.633214678083, 'throughput_tokens_per_sec': 0.7067411315404218, 'total_time_sec': 70.7472620010376, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 512, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10432.52001953125, 'average_memory_mb': 10030.4957807492, 'sample_count': 624}, 'total_peak_memory_mb': 10432.52001953125}","{'peak_cpu_percent': 100.0, 'average_cpu_percent': 13.677142857142854, 'peak_memory_percent': 44.5, 'peak_memory_used_gb': 28.37818145751953, 'sample_count': 70}",70.78915238380432
fullkvcache_hotpotqa_kv512_bs4_rep0_20250617_164233,2025-06-17T16:44:09.009612,"{'success': True, 'ttft_ms': 2342.0464992523193, 'tpot_ms': 1433.4116176683076, 'throughput_tokens_per_sec': 0.688902456068036, 'total_time_sec': 72.57921576499939, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 512, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10633.11865234375, 'average_memory_mb': 10222.369821029355, 'sample_count': 643}, 'total_peak_memory_mb': 10633.11865234375}","{'peak_cpu_percent': 26.7, 'average_cpu_percent': 9.281944444444443, 'peak_memory_percent': 45.8, 'peak_memory_used_gb': 29.222118377685547, 'sample_count': 72}",72.59316897392273
fullkvcache_hotpotqa_kv512_bs8_rep0_20250617_164409,2025-06-17T16:45:56.962098,"{'success': True, 'ttft_ms': 3085.5164527893066, 'tpot_ms': 1524.1404942103795, 'throughput_tokens_per_sec': 0.6429264159056254, 'total_time_sec': 77.76939749717712, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 512, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10909.52783203125, 'average_memory_mb': 10490.994038574927, 'sample_count': 689}, 'total_peak_memory_mb': 10909.52783203125}","{'peak_cpu_percent': 27.0, 'average_cpu_percent': 10.6012987012987, 'peak_memory_percent': 46.7, 'peak_memory_used_gb': 29.80438232421875, 'sample_count': 77}",77.79513835906982
fullkvcache_hotpotqa_kv1024_bs1_rep0_20250617_164557,2025-06-17T16:47:27.651795,"{'success': True, 'ttft_ms': 3114.4840717315674, 'tpot_ms': 1351.1794635227748, 'throughput_tokens_per_sec': 0.7212584871603644, 'total_time_sec': 69.32327437400818, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10480.5341796875, 'average_memory_mb': 10075.381519429458, 'sample_count': 614}, 'total_peak_memory_mb': 10480.5341796875}","{'peak_cpu_percent': 42.6, 'average_cpu_percent': 8.665217391304349, 'peak_memory_percent': 45.9, 'peak_memory_used_gb': 29.298248291015625, 'sample_count': 69}",69.37076115608215
