
==================================================
策略: Full KV (基线)
==================================================
平均相对分数: 100.00/100
平均原始分数: 0.0000
评测数据集数量: 114
数据集列表: hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, multi_news, multi_news, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, narrativeqa, narrativeqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, multi_news, multi_news, multi_news, multi_news, multi_news, multi_news, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, multi_news, multi_news, multi_news, multi_news, multi_news, multi_news, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, narrativeqa, narrativeqa, narrativeqa, narrativeqa, narrativeqa, narrativeqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa, hotpotqa

详细分数:
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  narrativeqa: 100.00/100 (原始: 0.0000)
  narrativeqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  multi_news: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
  hotpotqa: 100.00/100 (原始: 0.0000)
