experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_hotpotqa_kv128_bs1_rep0_20250622_112105,2025-06-22T11:21:25.955003,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 134.7294554418447, 'throughput_tokens_per_sec': 7.405494796683935, 'total_time_sec': 6.751743316650391, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_hotpotqa_kv1024_bs1_rep0_20250622_112105,2025-06-22T11:21:42.994731,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 122.31329217249034, 'throughput_tokens_per_sec': 8.138880136335183, 'total_time_sec': 6.143351316452026, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv128_bs1_rep0_20250622_112105,2025-06-22T11:22:01.757965,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 122.70098024485061, 'throughput_tokens_per_sec': 8.113790350752266, 'total_time_sec': 6.162348031997681, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv1024_bs1_rep0_20250622_112105,2025-06-22T11:22:19.229873,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 130.20212017759982, 'throughput_tokens_per_sec': 7.657080540880041, 'total_time_sec': 6.529903888702393, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_musique_kv128_bs1_rep0_20250622_112105,2025-06-22T11:22:36.549893,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.73428687270805, 'throughput_tokens_per_sec': 7.984694864366734, 'total_time_sec': 6.261980056762695, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
fullkvcache_musique_kv1024_bs1_rep0_20250622_112105,2025-06-22T11:22:53.830150,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 128.16058081023544, 'throughput_tokens_per_sec': 7.776208846785787, 'total_time_sec': 6.429868459701538, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
fullkvcache_hotpotqa_kv128_bs1_rep1_20250622_112105,2025-06-22T11:23:10.834191,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 127.62029998156488, 'throughput_tokens_per_sec': 7.80835827706411, 'total_time_sec': 6.40339469909668, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_hotpotqa_kv1024_bs1_rep1_20250622_112105,2025-06-22T11:23:27.771626,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 123.31015431151097, 'throughput_tokens_per_sec': 8.074677770744978, 'total_time_sec': 6.192197561264038, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv128_bs1_rep1_20250622_112105,2025-06-22T11:23:45.317707,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 125.80447002333037, 'throughput_tokens_per_sec': 7.9183848511472315, 'total_time_sec': 6.3144190311431885, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv1024_bs1_rep1_20250622_112105,2025-06-22T11:24:02.361310,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 121.36934922665965, 'throughput_tokens_per_sec': 8.200622506093614, 'total_time_sec': 6.097098112106323, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_musique_kv128_bs1_rep1_20250622_112105,2025-06-22T11:24:19.721430,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 127.31729916163853, 'throughput_tokens_per_sec': 7.826504969433127, 'total_time_sec': 6.388547658920288, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
fullkvcache_musique_kv1024_bs1_rep1_20250622_112105,2025-06-22T11:24:38.905247,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 173.54438937440207, 'throughput_tokens_per_sec': 5.777891998665202, 'total_time_sec': 8.653675079345703, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
