experiment_id,timestamp,performance,gpu,system,monitoring_duration
cake_mmlu_kv512_bs1_stratadaptive_bud0.7_rep0_20250608_124720,2025-06-08T12:47:25.436465,"{'success': False, 'error_message': 'CAKE核心功能不可用'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs4_stratadaptive_bud0.7_rep0_20250608_124725,2025-06-08T12:47:26.898857,"{'success': False, 'error_message': 'CAKE核心功能不可用'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs8_stratadaptive_bud0.7_rep0_20250608_124726,2025-06-08T12:47:27.233847,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -214902374: [-214902374]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs1_stratadaptive_bud0.7_rep0_20250608_124727,2025-06-08T12:47:27.564949,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -231472742: [-231472742]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs4_stratadaptive_bud0.7_rep0_20250608_124727,2025-06-08T12:47:27.882703,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -293357158: [-293357158]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs8_stratadaptive_bud0.7_rep0_20250608_124727,2025-06-08T12:47:28.213611,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -231472742: [-231472742]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs1_stratadaptive_bud0.7_rep1_20250608_124728,2025-06-08T12:47:28.542482,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -231472742: [-231472742]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs4_stratadaptive_bud0.7_rep1_20250608_124728,2025-06-08T12:47:28.848166,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -219620966: [-219620966]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs8_stratadaptive_bud0.7_rep1_20250608_124728,2025-06-08T12:47:29.175676,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -214902374: [-214902374]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs1_stratadaptive_bud0.7_rep1_20250608_124729,2025-06-08T12:47:29.505816,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -214902374: [-214902374]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs4_stratadaptive_bud0.7_rep1_20250608_124729,2025-06-08T12:47:29.833817,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -242056806: [-242056806]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs8_stratadaptive_bud0.7_rep1_20250608_124729,2025-06-08T12:47:30.254475,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -214902374: [-214902374]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs1_stratadaptive_bud0.7_rep2_20250608_124730,2025-06-08T12:47:34.631399,"{'success': False, 'error_message': 'CAKE核心功能不可用'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs4_stratadaptive_bud0.7_rep2_20250608_124734,2025-06-08T12:47:36.112101,"{'success': False, 'error_message': 'CAKE核心功能不可用'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv512_bs8_stratadaptive_bud0.7_rep2_20250608_124736,2025-06-08T12:47:36.431767,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -223706726: [-223706726]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs1_stratadaptive_bud0.7_rep2_20250608_124736,2025-06-08T12:47:36.770646,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -209659494: [-209659494]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs4_stratadaptive_bud0.7_rep2_20250608_124736,2025-06-08T12:47:37.096099,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -226229862: [-226229862]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
cake_mmlu_kv1024_bs8_stratadaptive_bud0.7_rep2_20250608_124737,2025-06-08T12:47:37.429269,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -209659494: [-209659494]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0
