experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_gov_report_kv128_bs1_rep0_20250622_112818,2025-06-22T11:28:37.914306,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 136.39447348458424, 'throughput_tokens_per_sec': 7.317077595873983, 'total_time_sec': 6.833329200744629, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_gov_report_kv1024_bs1_rep0_20250622_112818,2025-06-22T11:28:54.343712,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 133.4520184263891, 'throughput_tokens_per_sec': 7.474792492416326, 'total_time_sec': 6.689148902893066, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv128_bs1_rep0_20250622_112818,2025-06-22T11:29:10.205313,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 112.78384267067422, 'throughput_tokens_per_sec': 8.808386824549231, 'total_time_sec': 5.676408290863037, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv1024_bs1_rep0_20250622_112818,2025-06-22T11:29:26.348807,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 123.08348636237942, 'throughput_tokens_per_sec': 8.089187064379477, 'total_time_sec': 6.181090831756592, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
fullkvcache_multi_news_kv128_bs1_rep0_20250622_112818,2025-06-22T11:29:41.745688,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 115.92926005927883, 'throughput_tokens_per_sec': 8.57554423055117, 'total_time_sec': 5.830533742904663, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'multi_news', 'repetition': 0}",{},{},0
fullkvcache_multi_news_kv1024_bs1_rep0_20250622_112818,2025-06-22T11:29:57.131984,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 116.64532836602658, 'throughput_tokens_per_sec': 8.524246492122371, 'total_time_sec': 5.865621089935303, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'multi_news', 'repetition': 0}",{},{},0
fullkvcache_gov_report_kv128_bs1_rep1_20250622_112818,2025-06-22T11:30:13.076317,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 114.97108498398138, 'throughput_tokens_per_sec': 8.64515968394235, 'total_time_sec': 5.783583164215088, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_gov_report_kv1024_bs1_rep1_20250622_112818,2025-06-22T11:30:29.112581,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 113.32897945326201, 'throughput_tokens_per_sec': 8.767130984361232, 'total_time_sec': 5.703119993209839, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv128_bs1_rep1_20250622_112818,2025-06-22T11:30:45.003067,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 118.96876607622418, 'throughput_tokens_per_sec': 8.361945768677655, 'total_time_sec': 5.979469537734985, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv1024_bs1_rep1_20250622_112818,2025-06-22T11:31:01.934491,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 120.0704594047702, 'throughput_tokens_per_sec': 8.287129120552352, 'total_time_sec': 6.03345251083374, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
